BPM: 155
Time Signature: 3/4
Subdivisions: 1

                        (3,a,003:01)
                                    (4,b,003:02)
                                    (4,b,003:03)
                        (3,a,004:01)
                                    (4,b,004:02)
                                    (4,b,004:03)
                        (3,a,005:01)
                                    (4,b,005:02)
                                    (4,b,005:03)
                        (3,1,006:01)
                        (3,2,006:03)
            (2,a,007:01)
                        (3,b,007:02)
                        (3,b,007:03)
            (2,a,008:01)
                        (3,b,008:02)
                        (3,b,008:03)
            (2,a,009:01)
                        (3,b,009:02)
                        (3,b,009:03)
            (2,a,010:01)
                        (3,b,010:02)
                        (3,b,010:03)
(1,a,011:01)
            (2,b,011:02)
            (2,b,011:03)
(1,a,012:01)
            (2,b,012:02)
            (2,b,012:03)
(1,a,013:01)
            (2,b,013:02)
            (2,b,013:03)
(1,1,014:01)
(1,2,014:03)
            (2,a,015:01)
                        (3,b,015:02)
                        (3,b,015:03)
            (2,a,016:01)
                        (3,b,016:02)
                        (3,b,016:03)
            (2,a,017:01)
(1,b,017:02)
            (2,a,018:01)
            (2,b,018:02)
            (2,b,018:03) 
                        (3,1,019:01)
                        (3,2,019:03)
                                    (4,a,020:01)
                        (3,b,020:03)
            (2,1,021:01)
            (2,2,022:01)
                        (3,a,022:02)
=Subdivisions: 2
            (2,a,022:05)
                        (3,b,022:06)
            (2,b,023:01)
            (2,a,023:05)
                        (3,b,023:06)
=Subdivisions: 1
                                    (4,b,024:01)
                        (3,b,024:02)
                        (3,a,025:01)
                                    (4,b,025:02)
                        (3,b,025:03)
                        (3,1,026:01)
                        (3,2,026:03)
                        (3,1,027:01)
                        (3,2,027:03)
                                    (4,a,028:01)
                        (3,b,028:03)
            (2,1,029:01)
            (2,2,030:01)            
                                    (4,b,030:02)
                        (3,b,030:03)
            (2,1,031:01)
            (2,2,031:03)
            (2,a,032:01)
                        (3,b,032:02)
                                    (4,b,032:03)
                        (3,1,033:01)
                        (3,2,034:03)
                        (3,1,035:01)
                        (3,2,035:03)
                                    (4,a,036:01)
                        (3,b,036:03)
            (2,1,037:01)
            (2,2,038:01)
                        (3,a,038:02)
=Subdivisions: 2
            (2,a,038:05)
                        (3,b,038:06)
            (2,b,039:01)
            (2,a,039:05)
                        (3,b,039:06)
=Subdivisions: 1
                                    (4,b,040:01)
                        (3,b,040:02)
                        (3,a,041:01)
                                    (4,b,041:02)
                        (3,b,041:03)
                        (3,1,042:01)
                        (3,2,042:03)
                        (3,1,043:01)
                        (3,2,043:03)
                                    (4,a,044:01)
                        (3,b,044:03)
            (2,1,045:01)
            (2,2,046:01)            
                                    (4,b,046:02)
                        (3,b,046:03)
            (2,a,047:01)
                        (3,b,047:03)
                                    (4,1,048:01)
                                    (4,2,048:03)
            (2,1,049:01)
            (2,2,050:01)
                        (3,1,051:01)
                        (3,2,053:01)
(1,a,054:02)
            (2,b,054:03)
                        (3,a,055:01)
                                    (4,b,055:02)
                                    (4,b,055:03)
                                    (4,a,056:01)
                        (3,b,056:02)
                        (3,b,056:03)
                        (3,a,057:01)
                        (3,b,057:02)
            (2,b,057:03)
                        (3,a,058:01)
                        (3,b,058:02)
            (2,b,058:03)
(1,a,059:01)
(1,b,059:02)
(1,b,059:03)
(1,a,060:01)
            (2,b,060:02)
            (2,b,060:03)
            (2,a,061:01)
                        (3,b,061:03)
                        (3,a,062:01)
                                    (4,b,062:02)
                        (3,b,062:03)
=BPM: 146
                        (3,a,063:01)
            (2,a,064:01)
                        (3,a,065:01)
                        (3,a,066:01)(4,b,066:01)
                        (3,b,069:01)
=BPM: 155
                        (3,1,069:02)
                        (3,2,070:01)
                                    (4,a,070:02)
                        (3,b,071:01)
            (2,1,071:02)
            (2,2,072:02)
                        (3,a,072:03)
=Subdivisions: 2
            (2,a,073:01)
                        (3,b,073:02)
            (2,b,073:03)
            (2,a,074:01)
                        (3,b,074:02)
                                    (4,b,074:03)
                        (3,b,074:05)
                                    (4,b,075:01)
                        (3,a,075:03)(4,b,075:03)
                        (3,b,075:04)
=Subdivisions: 1
                                    (4,1,077:02)
                                    (4,2,078:01)
                        (3,1,078:02)
                        (3,2,079:01)
                        (3,a,079:02)
                                    (4,b,079:03)
                        (3,b,080:01)
            (2,a,080:02)
            (2,a,081:01)
(1,1,081:02)
(1,2,081:03)
                        (3,b,082:01)
            (2,1,082:02)
            (2,2,082:03)
                        (3,b,083:01)
            (2,1,083:02)
            (2,2,084:03)
                        (3,1,085:02)
                        (3,2,086:01)
                                    (4,a,086:02)
                        (3,b,087:01)
            (2,1,087:02)
            (2,2,088:02)
                        (3,a,088:03)
=Subdivisions: 2
            (2,a,089:01)
                        (3,b,089:02)
            (2,b,089:03)
            (2,a,090:01)
                        (3,b,090:02)
                                    (4,b,090:03)
                        (3,b,090:05)
                                    (4,b,091:01)
                        (3,a,091:03)(4,b,091:03)
                        (3,b,091:04)
=Subdivisions: 1
                                    (4,1,093:02)
                                    (4,2,094:01)
                        (3,1,094:02)
                        (3,2,095:01)
                        (3,a,095:02)
                                    (4,b,095:03)
                        (3,b,096:01)
            (2,a,096:02)
            (2,a,097:01)
(1,1,097:02)
(1,2,097:03)
                        (3,b,098:01)
            (2,1,098:02)
            (2,2,098:03)
                        (3,b,099:01)
            (2,1,099:02)
            (2,2,100:03)
            (2,a,101:01)
(1,1,101:02)
(1,2,101:03)
                        (3,b,102:01)
            (2,1,102:02)
            (2,2,102:03)
                        (3,b,103:01)
            (2,1,103:02)
            (2,2,105:01)
            (2,a,105:02)
                        (3,b,105:03)
            (2,a,106:02)
                                    (4,b,106:03)
            (2,a,107:02)
            (2,a,109:02)
                        (3,b,109:03)
            (2,a,110:02)
(1,b,110:03)
(1,a,111:02)
            (2,a,113:02)
                        (3,b,113:03)
            (2,a,114:02)
                                    (4,b,114:03)
            (2,a,115:02)
=BPM: 130
            (2,a,117:01)
                        (3,b,117:02)
                        (3,a,118:01)
                                    (4,a,118:03)
                        (3,b,119:01)
=BPM: 100
                                    (4,a,119:02)
                        (3,a,119:03)
            (2,a,120:01)
